No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,time 2,time 1,delay 1,delay 2,jitter
41,3.347023,192.168.43.119,104.118.106.95,HTTP,372,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
42,3.621044,104.118.106.95,192.168.43.119,HTTP,345,HTTP/1.1 301 Moved Permanently ,,,,,,,,,,,
43,3.621648,192.168.43.119,23.219.184.122,HTTP,386,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
44,3.675212,192.168.43.119,104.118.106.95,TCP,54,50440  >  80 [ACK] Seq=637 Ack=583 Win=61 Len=0,,,,,,,,,,,
45,3.943862,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=4619 Ack=665 Win=254 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
46,3.950962,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=5999 Ack=665 Win=254 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
47,3.951067,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=665 Ack=7379 Win=64 Len=0,,,,,,,,,,,
48,3.954885,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=7379 Ack=665 Win=254 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
49,3.958797,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=8759 Ack=665 Win=254 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
50,3.958905,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=665 Ack=10139 Win=64 Len=0,,,,,,,,,,,
51,3.964558,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=10139 Ack=665 Win=254 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
52,3.964713,23.219.184.122,192.168.43.119,HTTP,375,HTTP/1.1 206 Partial Content ,,,,,,,,,,,
53,3.964771,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=665 Ack=11840 Win=64 Len=0,,,,,,,,,,,
54,6.894286,192.168.43.119,104.118.106.95,HTTP,372,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
55,7.459145,104.118.106.95,192.168.43.119,HTTP,345,HTTP/1.1 301 Moved Permanently ,,,,,,,,,,,
56,7.460608,192.168.43.119,23.219.184.122,HTTP,386,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
57,7.52096,192.168.43.119,104.118.106.95,TCP,54,50440  >  80 [ACK] Seq=955 Ack=874 Win=60 Len=0,,,,,,,,,,,
58,7.844279,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=11840 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
59,7.846863,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=13220 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
60,7.846998,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=997 Ack=14600 Win=64 Len=0,,,,,,,,,,,
61,7.850717,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=14600 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
62,7.855415,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=15980 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
63,7.855575,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=997 Ack=17360 Win=64 Len=0,,,,,,,,,,,
64,7.856359,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=17360 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
65,7.880918,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=18740 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
66,7.881078,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=997 Ack=20120 Win=64 Len=0,,,,,,,,,,,
67,7.897058,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=20120 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
68,7.897443,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=21500 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
69,7.897443,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=22880 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
70,7.89764,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=997 Ack=24260 Win=64 Len=0,,,,,,,,,,,
71,7.914229,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=24260 Ack=997 Win=262 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
72,7.914409,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=997 Ack=25640 Win=64 Len=0,,,,,,,,,,,
73,7.914648,23.219.184.122,192.168.43.119,HTTP,421,HTTP/1.1 206 Partial Content ,,,,,,,,,,,
74,8.018589,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=997 Ack=26007 Win=63 Len=0,,,,,,,,,,,
75,10.09831,192.168.43.119,104.118.106.95,HTTP,372,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
76,10.403166,104.118.106.95,192.168.43.119,HTTP,345,HTTP/1.1 301 Moved Permanently ,,,,,,,,,,,
